"title","zip_code","address","station_type","station","area","contract","date","direction","floor","points","price","admin","maintainance","methods","dis","deposit","key","renewal"
"新山荘","606-0967","京都府京都市左京区松ケ崎小竹薮町","叡山電鉄叡山本線","修学院",15,2,"1980年02月","南東
",3,"室内洗濯機置場
ガスコンロ持込可
エアコン
",3.1,3000,NA,"徒歩",10,5,0,0
"サンクシャンブル","606-0853","京都府京都市左京区下鴨岸本町23-1","京都市営烏丸線","松ヶ崎",20,2,"1985年09月","西
",2,"都市ガス
ユニットバス
駐輪場
",3.3,3000,NA,"徒歩",13,3.3,0,0
"フォスマット松ヶ崎","606-0944","京都府京都市左京区松ケ崎御所ノ内町","京都市営烏丸線","松ヶ崎",20.9,2,"1999年03月","北
",3,"室内洗濯機置場
ネット無料
オートロック
",4.8,5000,NA,"徒歩",10,7,5,0
"AIM北山","606-0955","京都府京都市左京区松ケ崎雲路町17丁目","京都市営烏丸線","松ヶ崎",25,2,"1996年04月","西
",4,"広々キッチン
買物便利
日当良好
",5.1,6000,NA,"徒歩",8,0,5.1,5.1
"アッツ下鴨","606-0864","京都府京都市左京区下鴨高木町27番地","京都市営烏丸線","松ヶ崎",25.6,2,"2016年03月","南
",4,"洗髪洗面化粧台
温水洗浄便座
2口コンロ
",6.2,5300,NA,"徒歩",13,7,13,3.1
"ドーレ","606-8105","京都府京都市左京区高野上竹屋町","叡山電鉄叡山本線","一乗寺",18,2,"1995年03月","南
",3,"クローゼット
エアコン
ユニットバス
",3.9,3000,NA,"徒歩",9,3.9,0,0
"シェモアⅡ","606-0864","京都府京都市左京区下鴨高木町","京都市営烏丸線","松ヶ崎",19.8,2,"1995年09月","南
",5,"オール電化
広々居室
生活便利
",4.5,5000,NA,"徒歩",14,5,0,0
"サンクスパレ高野","606-8104","京都府京都市左京区高野竹屋町","叡山電鉄叡山本線","一乗寺",26.4,2,"2015年03月","北西
",4,"広々としたクローゼット
独立洗面台付きです
浴室乾燥機付きで洗濯も快適
",5.9,5000,NA,"徒歩",9,5,0,5.9
"エルム松ヶ崎","606-0944","京都府京都市左京区松ケ崎御所ノ内町","京都市営烏丸線","松ヶ崎",27.5,2,"1993年04月","南
",2,"オートロック
収納豊富
買物便利
",5.1,5000,2200,"徒歩",12,3,5,5.1
"スズランハイツ","606-0865","京都府京都市左京区下鴨東高木町","叡山電鉄叡山本線","茶山",17.5,2,"1968年10月","西
",2,"ガスキッチン
エアコン
フローリング
",3.8,7000,NA,"徒歩",15,3.8,0,0
"ヴィラリモージュ","606-8185","京都府京都市左京区一乗寺高槻町","叡山電鉄叡山本線","一乗寺",17.5,2,"1983年03月","北西
",3,"最寄駅徒歩５分
インターネット無料
共用コインランドリーあり
",3.4,4000,NA,"徒歩",5,0,0,3.4
"MARRY HOUSE下鴨","606-0831","京都府京都市左京区下鴨北園町30-3","京都市営烏丸線","北山",28.8,2,"2011年08月","西
",2,"セパレート
独立洗面化粧台
2口ガスキッチン
",6.5,3000,NA,"徒歩",11,6,15,0
"フォレスト","606-8182","京都府京都市左京区一乗寺赤ノ宮町27","叡山電鉄叡山本線","一乗寺",21,2,"1989年09月","東
",4,"バス停徒歩1分
スーパー・コンビニ徒歩4分以内
ショッピングモール徒歩10分
",3.8,6000,NA,"徒歩",6,5,0,0
"パルデンス高野","606-8111","京都府京都市左京区高野泉町","叡山電鉄叡山本線","修学院",23,2,"2000年02月","西
",3,"オール電化
IHキッチン
室内洗濯機置場
",5,4000,NA,"徒歩",7,5,5,0
"Palazzo di Ratti","606-0942","京都府京都市左京区松ケ崎樋ノ上町２４","京都市営烏丸線","松ヶ崎",24.7,2,"2004年03月","南
",2,"セパレート
室内洗濯機置場
2口ガスキッチン
",5.7,5000,NA,"徒歩",14,5.7,10,0
"ドルス北山","606-0847","京都府京都市左京区下鴨南野々神町1丁目","京都市営烏丸線","北山",24.4,2,"2000年12月","南
",7,"室内洗濯機置場
システムキッチン
エアコン
",5.7,6000,NA,"徒歩",3,8,10,0
"メゾンジョアⅡ","606-0933","京都府京都市左京区松ケ崎西山","京都市営烏丸線","北山",23,2,"1986年03月","南
",3,"閑静な住宅外
バス・トイレ別
ネット無料
",3.7,5000,2000,"徒歩",8,2,0,0
"VILLA HEIKE","606-0851","京都府京都市左京区下鴨梅ノ木町4","京都市営烏丸線","北山",17,2,"1989年03月","東
",2,"2口ガスコンロ持込可
駐輪場（原付きまで）
フローリング
",3.5,3000,NA,"徒歩",15,6,0,0
"オークハイツ","606-8114","京都府京都市左京区一乗寺北大丸町","叡山電鉄叡山本線","一乗寺",48.3,2,"1992年10月","南
",3,"徒歩3分圏内にコンビニ多数
スーパーも近い
",7.4,6000,NA,"徒歩",4,0,0,7.4
"エスポワール近藤","606-0815","京都府京都市左京区下鴨膳部町","京都市営烏丸線","北大路",22.5,1,"1994年03月","東
",2,"オートロック
セパレート
IHキッチン
",5.3,NA,6000,"徒歩",18,5,NA,5
"エスポワール近藤","606-0815","京都府京都市左京区下鴨膳部町91丁目","市バス","洛北高校前",22.5,2,"1994年03月","東
",2,"セパレート
オートロック
IHキッチン
",5.3,6000,540,"徒歩",3,5,10,0
